text,label
"This flight I bought it last week., the staff were rude and dismissive, one star, would give zero if I could, overpriced for what you get.",negative
"This book completely disappointed me, broke after two days, painfully slow and unresponsive.",negative
"This headphones I compared it with a few alternatives first., overpriced for what you get, riddled with bugs.",negative
"This restaurant not what was advertised at all, the quality feels cheap.",negative
"This restaurant I was looking forward to trying it., overpriced for what you get, worth every penny, would not recommend to anyone.",negative
This movie battery life is amazing.,positive
This movie the food was cold and bland.,negative
"This app I've used similar products before., overpriced for what you get.",negative
"This app I've used similar products before., the quality is outstanding, a genuinely great experience, a masterpiece from start to finish.",positive
"This hotel a masterpiece from start to finish, far from the food was cold and bland, the staff were incredibly friendly.",positive
"This restaurant exceeded my expectations, a total letdown, never not what was advertised at all, best purchase I've made this year.",positive
"This service far from the staff were incredibly friendly, took forever to arrive and arrived damaged.",negative
This headphones the plot made no sense.,negative
This headphones the food was cold and bland.,negative
"This book exceeded my expectations, it just works, no issues whatsoever, the food was delicious and fresh.",positive
"This service riddled with bugs, a total letdown, painfully slow and unresponsive.",negative
"This hotel would highly recommend to anyone, I wanted to like it..",positive
"This movie such a pleasant surprise, I wanted to like it., left me smiling the whole time.",positive
"This phone the worst experience I've had, I've used similar products before..",negative
"This movie I regret buying this, constantly crashes and freezes, It arrived on time..",negative
"This laptop waste of money, a total letdown, I was looking forward to trying it..",negative
"This book a genuinely great experience, far from waste of money.",positive
"This service worth every penny, I used it for a few days before writing this., exceeded my expectations, customer support was fantastic.",positive
"This flight a masterpiece from start to finish, I used it for a few days before writing this., not really I regret buying this, beautifully designed and easy to use.",positive
This hotel the food was delicious and fresh.,positive
"This hotel not what was advertised at all, a total letdown, I regret buying this.",negative
"This app overpriced for what you get, I compared it with a few alternatives first..",negative
"This book delivery was fast and the packaging was perfect, left me smiling the whole time, best purchase I've made this year.",positive
"This service works flawlessly, delivery was fast and the packaging was perfect, not really riddled with bugs.",positive
"This laptop completely disappointed me, battery drains within an hour, painfully slow and unresponsive, I saw a lot of reviews before deciding., the food was delicious and fresh.",negative
"This flight a genuinely great experience, works flawlessly, the food was delicious and fresh.",positive
"This restaurant I bought it last week., the quality is outstanding, works flawlessly.",positive
"This laptop the story kept me hooked from start to finish, five stars, no complaints at all.",positive
"This phone works flawlessly, the quality is outstanding.",positive
"This phone the food was delicious and fresh, best purchase I've made this year.",positive
"This laptop it just works, no issues whatsoever, waste of money.",negative
"This movie it just works, no issues whatsoever, would highly recommend to anyone, I was looking forward to trying it., beautifully designed and easy to use.",positive
"This app painfully slow and unresponsive, a genuinely great experience.",negative
"This flight a total letdown, I regret buying this, completely disappointed me.",negative
"This restaurant riddled with bugs, not really worth every penny, waste of money.",negative
"This book the story kept me hooked from start to finish, would highly recommend to anyone, customer support was fantastic.",positive
"This headphones not really exceeded my expectations, the staff were rude and dismissive, battery drains within an hour.",negative
"This phone completely disappointed me, far from works flawlessly.",negative
"This flight absolutely loved it, I wanted to like it., left me smiling the whole time, delivery was fast and the packaging was perfect.",positive
"This movie one star, would give zero if I could, This is my honest review., overpriced for what you get.",negative
"This movie never painfully slow and unresponsive, the quality is outstanding, the food was delicious and fresh, best purchase I've made this year.",positive
"This hotel never constantly crashes and freezes, delivery was fast and the packaging was perfect, worth every penny.",positive
"This laptop I compared it with a few alternatives first., overpriced for what you get, broke after two days, would not recommend to anyone.",negative
This hotel absolutely loved it.,positive
This service a total letdown.,negative
"This headphones the quality is outstanding, works flawlessly, left me smiling the whole time.",positive
"This laptop I wanted to like it., painfully slow and unresponsive, completely disappointed me, the food was cold and bland.",negative
"This book broke after two days, one star, would give zero if I could, a total letdown.",negative
This headphones the staff were incredibly friendly.,positive
"This movie the staff were incredibly friendly, far from waste of money.",positive
This service a total letdown.,negative
"This headphones absolutely loved it, exceeded my expectations.",positive
"This laptop exceeded my expectations, left me smiling the whole time, the food was delicious and fresh.",positive
"This restaurant customer support was fantastic, the staff were incredibly friendly, far from overpriced for what you get.",positive
"This app I compared it with a few alternatives first., not what was advertised at all, the staff were rude and dismissive, the plot made no sense, left me smiling the whole time.",negative
"This restaurant I was looking forward to trying it., one star, would give zero if I could.",negative
"This app not really it just works, no issues whatsoever, the plot made no sense, I regret buying this, I wanted to like it., overpriced for what you get.",negative
"This app the staff were rude and dismissive, took forever to arrive and arrived damaged, the worst experience I've had.",negative
"This restaurant riddled with bugs, customer support was useless, a total letdown.",negative
"This book definitely not would highly recommend to anyone, broke after two days.",negative
"This flight not really best purchase I've made this year, painfully slow and unresponsive.",negative
"This phone battery life is amazing, the staff were incredibly friendly.",positive
"This movie never the quality is outstanding, A friend recommended it to me., the staff were rude and dismissive, would not recommend to anyone, waste of money.",negative
This phone overpriced for what you get.,negative
"This phone the quality is outstanding, a masterpiece from start to finish, it just works, no issues whatsoever.",positive
"This restaurant the staff were rude and dismissive, battery life is amazing, battery drains within an hour.",negative
"This hotel I bought it last week., broke after two days, would not recommend to anyone.",negative
"This headphones the quality feels cheap, the worst experience I've had, overpriced for what you get.",negative
"This restaurant far from such a pleasant surprise, overpriced for what you get.",negative
"This restaurant one star, would give zero if I could, I've used similar products before., a total letdown, would not recommend to anyone.",negative
"This service riddled with bugs, painfully slow and unresponsive, I regret buying this.",negative
"This app worth every penny, five stars, no complaints at all, never constantly crashes and freezes, a genuinely great experience, constantly crashes and freezes.",positive
"This phone a total letdown, overpriced for what you get, not what was advertised at all.",negative
"This headphones I saw a lot of reviews before deciding., constantly crashes and freezes, took forever to arrive and arrived damaged.",negative
"This hotel battery life is amazing, It arrived on time., exceeded my expectations, such a pleasant surprise.",positive
This laptop exceeded my expectations.,positive
"This flight never battery drains within an hour, a genuinely great experience, took forever to arrive and arrived damaged, exceeded my expectations.",positive
"This hotel exceeded my expectations, the quality is outstanding, worth every penny.",positive
This laptop best purchase I've made this year.,positive
"This book overpriced for what you get, it just works, no issues whatsoever, the quality is outstanding, absolutely loved it.",positive
"This restaurant customer support was fantastic, a genuinely great experience, delivery was fast and the packaging was perfect.",positive
This headphones the plot made no sense.,negative
"This movie A friend recommended it to me., battery drains within an hour, the quality feels cheap, would highly recommend to anyone.",negative
"This phone I bought it last week., a masterpiece from start to finish.",positive
"This phone such a pleasant surprise, battery life is amazing, never broke after two days.",positive
"This flight I regret buying this, took forever to arrive and arrived damaged.",negative
"This laptop painfully slow and unresponsive, the food was cold and bland, not what was advertised at all, not really the story kept me hooked from start to finish.",negative
